channel_id,video_id,channel_name,duration(sec),domain,link
UCA4y9g_GRdNrZLH_u5LLSdw,HMZeaYOyOSo,BanglaVision NEWS,243,Talk-show,https://www.youtube.com/watch?v=HMZeaYOyOSo
UCA4y9g_GRdNrZLH_u5LLSdw,OUOYXr4bKoQ,BanglaVision NEWS,257,Talk-show,https://www.youtube.com/watch?v=OUOYXr4bKoQ
UC9Rgo0CrNyd7OWliLekqqGA,WS9xNTNwJKk,ATN News,169,Talk-show,https://www.youtube.com/watch?v=WS9xNTNwJKk
UCjIi0uZg4h5Ar8gvLDTrGwA,hmLU50xlTC8,GTV News,1138,Talk-show,https://www.youtube.com/watch?v=hmLU50xlTC8
UCKlhfq1ILoAFav7iw5iCnfA,QMAimiNojRA,ATN News Live,174,Talk-show,https://www.youtube.com/watch?v=QMAimiNojRA
UCA4y9g_GRdNrZLH_u5LLSdw,NrIM2CRS7hY,BanglaVision NEWS,236,Talk-show,https://www.youtube.com/watch?v=NrIM2CRS7hY
UCDESSC7DwGTi8PW16UOlPgA,DW11ftPk4pY,Channel 24 Bulletin,1146,Talk-show,https://www.youtube.com/watch?v=DW11ftPk4pY
UCDESSC7DwGTi8PW16UOlPgA,wWyWoBZviwg,Channel 24 Bulletin,1158,Talk-show,https://www.youtube.com/watch?v=wWyWoBZviwg
UCUxdUUZZNXrZprkqTja0Ltg,h7stEK8uaAI,Global TV News,161,Talk-show,https://www.youtube.com/watch?v=h7stEK8uaAI
UCA4y9g_GRdNrZLH_u5LLSdw,KflVF0gy3T8,BanglaVision NEWS,240,Talk-show,https://www.youtube.com/watch?v=KflVF0gy3T8
UCYTFHKYTUMm-tsFfdRzLXwg,4bT18SHIpmc,Noyon Media,898,Talk-show,https://www.youtube.com/watch?v=4bT18SHIpmc
UCKlhfq1ILoAFav7iw5iCnfA,BF0_mL6x-08,ATN News Live,204,Talk-show,https://www.youtube.com/watch?v=BF0_mL6x-08
UCA4y9g_GRdNrZLH_u5LLSdw,nsCtSPI0lQQ,BanglaVision NEWS,1271,Talk-show,https://www.youtube.com/watch?v=nsCtSPI0lQQ
UCUxdUUZZNXrZprkqTja0Ltg,ZJyW1VsQzpw,Global TV News,189,Talk-show,https://www.youtube.com/watch?v=ZJyW1VsQzpw
